"","p10","p25","p50","p75","p90","metric","comid","result_type"
"DS_Dur_WS",106.6,123,156,175.5,195.6,"DS_Dur_WS",2823750,"observed"
"DS_Tim",276.8,290.5,313,331,347,"DS_Tim",2823750,"observed"
"DS_Mag_50",175.60456,264.36445,364,391.41965,470.33878,"DS_Mag_50",2823750,"observed"
"DS_Mag_90",534.96,693.7,872.76202,1159.7,1529.92,"DS_Mag_90",2823750,"observed"
"FA_Dur",2,2,2,3.5,4,"FA_Dur",2823750,"observed"
"FA_Mag",437.007144460418,553.984732229344,773.988279052197,1315.02332270651,2726.21789753696,"FA_Mag",2823750,"observed"
"FA_Tim",1,3,6,17,32,"FA_Tim",2823750,"observed"
"SP_ROC",0.108522745571261,0.138518348896254,0.185185932773654,0.244748832505766,0.29406242967074,"SP_ROC",2823750,"observed"
"SP_Dur",45,50,62,85.5,102.6,"SP_Dur",2823750,"observed"
"SP_Mag",5200.4,5979,9698,16214.5,20468.8,"SP_Mag",2823750,"observed"
"SP_Tim",224,232,244,254,264.8,"SP_Tim",2823750,"observed"
"Wet_BFL_Dur",91.6,109.5,137,182.5,202,"Wet_BFL_Dur",2823750,"observed"
"Wet_BFL_Mag_10",478.84,678.2,964.8,1257.2,1562.56,"Wet_BFL_Mag_10",2823750,"observed"
"Wet_BFL_Mag_50",1745.7,2315.25,3291,4484.5,5597.6,"Wet_BFL_Mag_50",2823750,"observed"
"Wet_Tim",48.8,78,96,131.5,138.6,"Wet_Tim",2823750,"observed"
"Peak_Tim_10",91.3,91.75,104,127,146.8,"Peak_Tim_10",2823750,"observed"
"Peak_Tim_2",117.85,170.875,193.75,226.5,243.5,"Peak_Tim_2",2823750,"observed"
"Peak_Tim_5",114.4,129.5,160,203.75,227.4,"Peak_Tim_5",2823750,"observed"
"Peak_Dur_10",1,1,1.5,2.25,2.7,"Peak_Dur_10",2823750,"observed"
"Peak_Dur_2",1.7,2.5,5.5,19.5,28.5,"Peak_Dur_2",2823750,"observed"
"Peak_Dur_5",1,1.5,2,3,6,"Peak_Dur_5",2823750,"observed"
"Peak_10",42965.8,42965.8,42965.8,42965.8,42965.8,"Peak_10",2823750,"observed"
"Peak_2",14241,14241,14241,14241,14241,"Peak_2",2823750,"observed"
"Peak_5",29141.2,29141.2,29141.2,29141.2,29141.2,"Peak_5",2823750,"observed"
"Peak_Fre_10",1,1,1,1.25,1.7,"Peak_Fre_10",2823750,"observed"
"Peak_Fre_2",1,2,4,6.5,8,"Peak_Fre_2",2823750,"observed"
"Peak_Fre_5",1,1,2,2,2.8,"Peak_Fre_5",2823750,"observed"
